parcel_id,max_built_dua,max_built_non_res_far,zoningmodcat
8289,108.0,,53000OKD1lrt2NANA
8320,110.0,,53000OKD1brt3NANA
8358,104.0,,53000OKD1brt3NANA
8361,104.0,,53000OKD1brt3NANA
8366,105.0,,53000OKD1brt3NANA
8367,105.0,,53000OKD1brt3NANA
8396,109.0,,53000OKD1brt3NANA
8405,101.0,,53000OKD1brt3NANA
8422,106.0,,53000OKD1brt3NANA
8439,105.0,,53000OKD1brt3NANA
8470,105.0,,53000OKD1brt3NANA
8482,40.0,,53000OKD1brt3NANA
8492,35.0,,53000OKD1brt3NANA
8512,108.0,,53000OKD1brt3NANA
8515,107.0,,53000OKD1brt3NANA
8531,109.0,,53000OKD1brt3NANA
8552,108.0,,53000OKD1brt3NANA
8556,106.0,,53000OKD1brt3NANA
8603,40.0,,53000OKD1brt3NANA
8614,40.0,,53000OKD1brt3NANA
8662,107.0,,53000OKD1b1NANA
8676,36.0,,53000OKD1lrt2NANA
8681,35.0,,53000OKD1lrt2NANA
8691,109.0,,53000OKD1lrt2NANA
8729,30.0,,53000OKD1lrt2NANA
8761,34.0,,53000OKD1lrt2NANA
8813,35.0,,53000OKD1lrt2NANA
8869,108.0,,53000OKD1lrt2NANA
8928,37.0,,53000OKD1lrt2NANA
8931,39.0,,53000OKD1lrt2NANA
9062,32.0,,53000OKD1lrt2NANA
9172,31.0,,53000OKD1lrt2NANA
9198,33.0,,53000OKD1lrt2NANA
9200,40.0,,53000OKD1lrt2NANA
9229,24.0,,53000OKD1lrt2NANA
9279,31.0,,53000OKD1lrt2NANA
9342,106.0,,53000OKD1b2NANA
9369,117.0,,53000OKD1lrt2NANA
9478,113.0,,53000OKD1brt3NANA
9484,105.0,,53000OKD1brt3NANA
9485,105.0,,53000OKD1brt3NANA
9586,36.0,,53000OKD1brt3NANA
9886,106.0,,53000OKD1brt3NANA
9898,108.0,,53000OKD1brt3NANA
9917,105.0,,53000OKD1brt3NANA
9959,103.0,,53000OKD1brt3NANA
9964,107.0,,53000OKD1brt3NANA
9966,111.0,,53000OKD1brt3NANA
9986,108.0,,53000OKD1brt3NANA
